"노선번호","역명","board","X좌표","Y좌표","mean"
"8761 : 신촌로터리 - 국회의사당","창전현대홈타운","h",126.9325437603,37.5506860349,10.9
"8771 : 구산중 - 녹번역","구산중학교.구산교회","s",126.9108777885,37.6087987452,707.35
"8771 : 구산중 - 녹번역","구산중학교.구산교회","h",126.9108777885,37.6087987452,1.5
"8771 : 구산중 - 녹번역","녹번역","s",126.9348037064,37.6008350591,3.15
"8771 : 구산중 - 녹번역","녹번역","h",126.9348037064,37.6008350591,1807.15
"8771 : 구산중 - 녹번역","본서부병원","s",126.9235535905,37.6006263607,379.0625
"8771 : 구산중 - 녹번역","본서부병원","h",126.9235535905,37.6006263607,137.5
"8771 : 구산중 - 녹번역","서부병원","s",126.9235535905,37.6006263607,497
"8771 : 구산중 - 녹번역","서부병원","h",126.9235535905,37.6006263607,169.75
"8771 : 구산중 - 녹번역","서울기독대학교입구","s",126.9103236469,37.602031078,674.9
"8771 : 구산중 - 녹번역","서울기독대학교입구","h",126.9103236469,37.602031078,7.35
"8771 : 구산중 - 녹번역","시립서북병원세현교회앞","s",126.910509705,37.6060162302,833.5
"8771 : 구산중 - 녹번역","시립서북병원세현교회앞","h",126.910509705,37.6060162302,4
"8771 : 구산중 - 녹번역","신사동고개.은평지역자활센터","s",126.910172,37.598976,687.2
"8771 : 구산중 - 녹번역","신사동고개.은평지역자활센터","h",126.910172,37.598976,490.45
"8771 : 구산중 - 녹번역","신진과학기술고교.이마트은평점","s",126.9186183354,37.599571144,320.75
"8771 : 구산중 - 녹번역","신진과학기술고교.이마트은평점","h",126.9186183354,37.599571144,50.35
"8771 : 구산중 - 녹번역","우남교통","s",126.9102154353,37.5997638904,729.55
"8771 : 구산중 - 녹번역","우남교통","h",126.9102154353,37.5997638904,18.4
"8771 : 구산중 - 녹번역","은평구청","s",126.9303114393,37.6012532493,110.25
"8771 : 구산중 - 녹번역","은평구청","h",126.9303114393,37.6012532493,538.25
"8771 : 구산중 - 녹번역","은평세무서","s",126.9266264494,37.6012966302,366.6
"8771 : 구산중 - 녹번역","은평세무서","h",126.9266264494,37.6012966302,177
"8771 : 구산중 - 녹번역","응암역신사오거리","s",126.9149652941,37.5988292361,315.9
"8771 : 구산중 - 녹번역","응암역신사오거리","h",126.9149652941,37.5988292361,1610.5
"신규노선 제안 1 : 은평구","불광지구대","s",126.9267123794,37.6218084854,240.723404255319
"신규노선 제안 1 : 은평구","북한산대창센시티아파트","s",126.9287252855,37.6248367316,292.63829787234
"신규노선 제안 1 : 은평구","불광지구대","s",126.9287252855,37.6248367316,158
"신규노선 제안 1 : 은평구","연신초등학교","s",126.9288413153,37.625615076,2931.125
"신규노선 제안 1 : 은평구","불광지구대","s",126.9265716213,37.6218266007,1873.64583333333
"신규노선 제안 1 : 은평구","연서시장","s",126.9226087829,37.619549784,511.783333333333
"신규노선 제안 1 : 은평구","불광중학교","s",126.9309635985,37.6227262831,143.75
"신규노선 제안 1 : 은평구","북한산대창센시티아파트","s",126.9299268567,37.6237231908,95.1666666666667
"신규노선 제안 1 : 은평구","북한산대창센시티아파트","s",126.929713227,37.6238674317,1325.125
"신규노선 제안 1 : 은평구","불광중학교","s",126.9310927976,37.6225274517,1017.04166666667
"신규노선 제안 1 : 은평구","연신초등학교","s",126.9290486422,37.626075336,50.375
"신규노선 제안 1 : 은평구","금강골드","s",126.9300451877,37.6220628878,0.5
"신규노선 제안 1 : 은평구","목욕탕앞","s",126.9300451877,37.6220628878,0.4
"신규노선 제안 1 : 은평구","불광중학교","s",126.9315692876,37.6223417957,2.66666666666667
"신규노선 제안 1 : 은평구","불광중학교","s",126.9315491891,37.6223919537,914.666666666667
"신규노선 제안 1 : 은평구","금강골드","s",126.9299786426,37.6221756949,997.5
"신규노선 제안 1 : 은평구","목욕탕앞","s",126.9299786426,37.6221756949,1061.6
"신규노선 제안 1 : 은평구","연서시장","s",126.9207429402,37.6197767857,824.833333333333
"신규노선 제안 1 : 은평구","불광지구대","h",126.9267123794,37.6218084854,525.042553191489
"신규노선 제안 1 : 은평구","북한산대창센시티아파트","h",126.9287252855,37.6248367316,474.212765957447
"신규노선 제안 1 : 은평구","불광지구대","h",126.9287252855,37.6248367316,563
"신규노선 제안 1 : 은평구","연신초등학교","h",126.9288413153,37.625615076,125.770833333333
"신규노선 제안 1 : 은평구","불광지구대","h",126.9265716213,37.6218266007,153.875
"신규노선 제안 1 : 은평구","연서시장","h",126.9226087829,37.619549784,3136.56666666667
"신규노선 제안 1 : 은평구","불광중학교","h",126.9309635985,37.6227262831,349.791666666667
"신규노선 제안 1 : 은평구","북한산대창센시티아파트","h",126.9299268567,37.6237231908,71.2083333333333
"신규노선 제안 1 : 은평구","북한산대창센시티아파트","h",126.929713227,37.6238674317,116.416666666667
"신규노선 제안 1 : 은평구","불광중학교","h",126.9310927976,37.6225274517,76.125
"신규노선 제안 1 : 은평구","연신초등학교","h",126.9290486422,37.626075336,284.208333333333
"신규노선 제안 1 : 은평구","금강골드","h",126.9300451877,37.6220628878,121
"신규노선 제안 1 : 은평구","목욕탕앞","h",126.9300451877,37.6220628878,144.9
"신규노선 제안 1 : 은평구","불광중학교","h",126.9315692876,37.6223417957,291.75
"신규노선 제안 1 : 은평구","불광중학교","h",126.9315491891,37.6223919537,7.58333333333333
"신규노선 제안 1 : 은평구","금강골드","h",126.9299786426,37.6221756949,6.5
"신규노선 제안 1 : 은평구","목욕탕앞","h",126.9299786426,37.6221756949,6.6
"신규노선 제안 1 : 은평구","연서시장","h",126.9207429402,37.6197767857,1368.91666666667
"신규노선 제안 2 : 서초구","롯데캐슬헤론아파트","s",126.9851854574,37.4972707701,831.666666666667
"신규노선 제안 2 : 서초구","방배동신동아아파트","s",127.0017234981,37.4822373624,106.305555555556
"신규노선 제안 2 : 서초구","내방역","s",126.994160766,37.4866504959,2678.72222222222
"신규노선 제안 2 : 서초구","남부시장","s",126.9858179336,37.4950767159,672.333333333333
"신규노선 제안 2 : 서초구","내방역3번출구","s",126.9940607944,37.486801333,4114.20833333333
"신규노선 제안 2 : 서초구","유경약국","s",126.9862179523,37.4936680326,1668.16666666667
"신규노선 제안 2 : 서초구","동부센트레빌2","s",126.9880596891,37.4980973518,514.472222222222
"신규노선 제안 2 : 서초구","방일초등학교","s",126.995076038,37.4852514776,285.875
"신규노선 제안 2 : 서초구","서래초교","s",126.9889053247,37.4952597078,85.25
"신규노선 제안 2 : 서초구","동부센트레빌1","s",126.9873767741,37.4976025464,82.25
"신규노선 제안 2 : 서초구","방배역.서초프라자약국","s",126.9972005292,37.4821931646,2838
"신규노선 제안 2 : 서초구","오거리","s",126.9968192433,37.4886009585,35.8333333333333
"신규노선 제안 2 : 서초구","제약회관","s",127.0018175259,37.4822575415,192.833333333333
"신규노선 제안 2 : 서초구","삼호아파트","s",126.9873956645,37.4973520908,121.916666666667
"신규노선 제안 2 : 서초구","서래초등학교","s",126.9884201694,37.4957550614,170.25
"신규노선 제안 2 : 서초구","카페골목입구","s",126.9872941462,37.4916517969,244.944444444444
"신규노선 제안 2 : 서초구","남부시장","s",126.9858364707,37.4953822108,2.5
"신규노선 제안 2 : 서초구","방배4동성당","s",126.9935309749,37.4937676364,132.083333333333
"신규노선 제안 2 : 서초구","함지박사거리","s",126.9911151517,37.4931668481,268.083333333333
"신규노선 제안 2 : 서초구","롯데캐슬헤론아파트","h",126.9851854574,37.4972707701,20.25
"신규노선 제안 2 : 서초구","방배동신동아아파트","h",127.0017234981,37.4822373624,135.888888888889
"신규노선 제안 2 : 서초구","내방역","h",126.994160766,37.4866504959,939.222222222222
"신규노선 제안 2 : 서초구","남부시장","h",126.9858179336,37.4950767159,6.58333333333333
"신규노선 제안 2 : 서초구","내방역3번출구","h",126.9940607944,37.486801333,503
"신규노선 제안 2 : 서초구","유경약국","h",126.9862179523,37.4936680326,12
"신규노선 제안 2 : 서초구","동부센트레빌2","h",126.9880596891,37.4980973518,123.638888888889
"신규노선 제안 2 : 서초구","방일초등학교","h",126.995076038,37.4852514776,230.875
"신규노선 제안 2 : 서초구","서래초교","h",126.9889053247,37.4952597078,181
"신규노선 제안 2 : 서초구","동부센트레빌1","h",126.9873767741,37.4976025464,155.5
"신규노선 제안 2 : 서초구","방배역.서초프라자약국","h",126.9972005292,37.4821931646,760.541666666667
"신규노선 제안 2 : 서초구","오거리","h",126.9968192433,37.4886009585,250.166666666667
"신규노선 제안 2 : 서초구","제약회관","h",127.0018175259,37.4822575415,159.333333333333
"신규노선 제안 2 : 서초구","삼호아파트","h",126.9873956645,37.4973520908,143.583333333333
"신규노선 제안 2 : 서초구","서래초등학교","h",126.9884201694,37.4957550614,77.6666666666667
"신규노선 제안 2 : 서초구","카페골목입구","h",126.9872941462,37.4916517969,210.444444444444
"신규노선 제안 2 : 서초구","남부시장","h",126.9858364707,37.4953822108,222.5
"신규노선 제안 2 : 서초구","방배4동성당","h",126.9935309749,37.4937676364,100.666666666667
"신규노선 제안 2 : 서초구","함지박사거리","h",126.9911151517,37.4931668481,107.75
